"Kod";"Nazwa";"Wyszczególnienie";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
2600000;"ŚWIĘTOKRZYSKIE";"studenci kobiety";"2023";11181;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"studenci kobiety";"2024";12007;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"studenci mężczyźni";"2019";7898;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"studenci mężczyźni";"2020";7522;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"studenci mężczyźni";"2021";7386;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"studenci mężczyźni";"2022";7350;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"studenci mężczyźni";"2023";7043;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"studenci mężczyźni";"2024";7226;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"studenci kobiety";"2019";14810;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"studenci kobiety";"2020";14235;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"studenci kobiety";"2021";13952;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"studenci kobiety";"2022";13375;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"studenci kobiety";"2023";13214;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"studenci kobiety";"2024";13604;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"studenci mężczyźni";"2019";11007;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"studenci mężczyźni";"2020";10333;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"studenci mężczyźni";"2021";9781;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"studenci mężczyźni";"2022";9279;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"studenci mężczyźni";"2023";9222;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"studenci mężczyźni";"2024";9697;"osoba";"";
3000000;"WIELKOPOLSKIE";"studenci kobiety";"2019";68473;"osoba";"";
3000000;"WIELKOPOLSKIE";"studenci kobiety";"2020";70394;"osoba";"";
3000000;"WIELKOPOLSKIE";"studenci kobiety";"2021";68815;"osoba";"";
3000000;"WIELKOPOLSKIE";"studenci kobiety";"2022";67288;"osoba";"";
3000000;"WIELKOPOLSKIE";"studenci kobiety";"2023";65712;"osoba";"";
3000000;"WIELKOPOLSKIE";"studenci kobiety";"2024";66460;"osoba";"";
3000000;"WIELKOPOLSKIE";"studenci mężczyźni";"2019";46383;"osoba";"";
3000000;"WIELKOPOLSKIE";"studenci mężczyźni";"2020";47664;"osoba";"";
3000000;"WIELKOPOLSKIE";"studenci mężczyźni";"2021";46566;"osoba";"";
3000000;"WIELKOPOLSKIE";"studenci mężczyźni";"2022";46545;"osoba";"";
3000000;"WIELKOPOLSKIE";"studenci mężczyźni";"2023";45810;"osoba";"";
3000000;"WIELKOPOLSKIE";"studenci mężczyźni";"2024";46420;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"studenci kobiety";"2019";21234;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"studenci kobiety";"2020";21232;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"studenci kobiety";"2021";20825;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"studenci kobiety";"2022";20024;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"studenci kobiety";"2023";20441;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"studenci kobiety";"2024";21246;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"studenci mężczyźni";"2019";16410;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"studenci mężczyźni";"2020";16167;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"studenci mężczyźni";"2021";15429;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"studenci mężczyźni";"2022";15085;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"studenci mężczyźni";"2023";15435;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"studenci mężczyźni";"2024";15965;"osoba";"";
