"Kod";"Nazwa";"Stypendia";"Typy instytucji";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
1600000;"OPOLSKIE";"stypendium socjalne";"uczelnie ogółem";"2019";1512;"osoba";"";
1600000;"OPOLSKIE";"stypendium socjalne";"uczelnie ogółem";"2020";968;"osoba";"";
1600000;"OPOLSKIE";"stypendium socjalne";"uczelnie ogółem";"2021";800;"osoba";"";
1600000;"OPOLSKIE";"stypendium socjalne";"uczelnie ogółem";"2022";648;"osoba";"";
1600000;"OPOLSKIE";"stypendium socjalne";"uczelnie ogółem";"2023";582;"osoba";"";
1600000;"OPOLSKIE";"stypendium socjalne";"uczelnie ogółem";"2024";637;"osoba";"";
1600000;"OPOLSKIE";"stypendium rektora";"uczelnie ogółem";"2019";1631;"osoba";"";
1600000;"OPOLSKIE";"stypendium rektora";"uczelnie ogółem";"2020";1656;"osoba";"";
1600000;"OPOLSKIE";"stypendium rektora";"uczelnie ogółem";"2021";1479;"osoba";"";
1600000;"OPOLSKIE";"stypendium rektora";"uczelnie ogółem";"2022";1445;"osoba";"";
1600000;"OPOLSKIE";"stypendium rektora";"uczelnie ogółem";"2023";1461;"osoba";"";
1600000;"OPOLSKIE";"stypendium rektora";"uczelnie ogółem";"2024";1454;"osoba";"";
1600000;"OPOLSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2019";;"osoba";"";
1600000;"OPOLSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2020";;"osoba";"";
1600000;"OPOLSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2021";;"osoba";"";
1600000;"OPOLSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2022";;"osoba";"";
1600000;"OPOLSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2023";249;"osoba";"";
1600000;"OPOLSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2024";291;"osoba";"";
1800000;"PODKARPACKIE";"stypendium socjalne";"uczelnie ogółem";"2019";8403;"osoba";"";
1800000;"PODKARPACKIE";"stypendium socjalne";"uczelnie ogółem";"2020";7327;"osoba";"";
1800000;"PODKARPACKIE";"stypendium socjalne";"uczelnie ogółem";"2021";6124;"osoba";"";
1800000;"PODKARPACKIE";"stypendium socjalne";"uczelnie ogółem";"2022";5039;"osoba";"";
1800000;"PODKARPACKIE";"stypendium socjalne";"uczelnie ogółem";"2023";5124;"osoba";"";
1800000;"PODKARPACKIE";"stypendium socjalne";"uczelnie ogółem";"2024";5204;"osoba";"";
1800000;"PODKARPACKIE";"stypendium rektora";"uczelnie ogółem";"2019";4305;"osoba";"";
1800000;"PODKARPACKIE";"stypendium rektora";"uczelnie ogółem";"2020";4341;"osoba";"";
1800000;"PODKARPACKIE";"stypendium rektora";"uczelnie ogółem";"2021";4264;"osoba";"";
1800000;"PODKARPACKIE";"stypendium rektora";"uczelnie ogółem";"2022";4070;"osoba";"";
1800000;"PODKARPACKIE";"stypendium rektora";"uczelnie ogółem";"2023";3989;"osoba";"";
1800000;"PODKARPACKIE";"stypendium rektora";"uczelnie ogółem";"2024";4122;"osoba";"";
1800000;"PODKARPACKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2019";;"osoba";"";
1800000;"PODKARPACKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2020";;"osoba";"";
1800000;"PODKARPACKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2021";;"osoba";"";
1800000;"PODKARPACKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2022";;"osoba";"";
1800000;"PODKARPACKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2023";1028;"osoba";"";
1800000;"PODKARPACKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2024";1150;"osoba";"";
2000000;"PODLASKIE";"stypendium socjalne";"uczelnie ogółem";"2019";4891;"osoba";"";
2000000;"PODLASKIE";"stypendium socjalne";"uczelnie ogółem";"2020";3889;"osoba";"";
2000000;"PODLASKIE";"stypendium socjalne";"uczelnie ogółem";"2021";3401;"osoba";"";
2000000;"PODLASKIE";"stypendium socjalne";"uczelnie ogółem";"2022";2983;"osoba";"";
2000000;"PODLASKIE";"stypendium socjalne";"uczelnie ogółem";"2023";2638;"osoba";"";
2000000;"PODLASKIE";"stypendium socjalne";"uczelnie ogółem";"2024";2624;"osoba";"";
2000000;"PODLASKIE";"stypendium rektora";"uczelnie ogółem";"2019";2478;"osoba";"";
2000000;"PODLASKIE";"stypendium rektora";"uczelnie ogółem";"2020";2476;"osoba";"";
2000000;"PODLASKIE";"stypendium rektora";"uczelnie ogółem";"2021";2558;"osoba";"";
2000000;"PODLASKIE";"stypendium rektora";"uczelnie ogółem";"2022";2509;"osoba";"";
2000000;"PODLASKIE";"stypendium rektora";"uczelnie ogółem";"2023";2456;"osoba";"";
2000000;"PODLASKIE";"stypendium rektora";"uczelnie ogółem";"2024";2585;"osoba";"";
2000000;"PODLASKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2019";;"osoba";"";
